"filename", "language", "JavaScript", "PostCSS", "vue", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Georg\source\repos\Wildvogelreha\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\Georg\source\repos\Wildvogelreha\index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\Georg\source\repos\Wildvogelreha\package-lock.json", "JSON", 0, 0, 0, 4673, 0, 0, 0, 1, 4674
"c:\Users\Georg\source\repos\Wildvogelreha\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\Georg\source\repos\Wildvogelreha\src\App.vue", "vue", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Georg\source\repos\Wildvogelreha\src\assets\global.css", "PostCSS", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AbousUs.vue", "vue", 0, 0, 343, 0, 0, 0, 0, 16, 359
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AppLayout.vue", "vue", 0, 0, 99, 0, 0, 0, 0, 19, 118
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Blog.vue", "vue", 0, 0, 324, 0, 0, 0, 0, 29, 353
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Checkout.vue", "vue", 0, 0, 184, 0, 0, 0, 0, 12, 196
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Contact.vue", "vue", 0, 0, 304, 0, 0, 0, 0, 39, 343
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Footer.vue", "vue", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Header.vue", "vue", 0, 0, 231, 0, 0, 0, 0, 7, 238
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Home.vue", "vue", 0, 0, 440, 0, 0, 0, 0, 19, 459
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Login.vue", "vue", 0, 0, 62, 0, 0, 0, 0, 5, 67
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Profile.vue", "vue", 0, 0, 258, 0, 0, 0, 0, 11, 269
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Register.vue", "vue", 0, 0, 138, 0, 0, 0, 0, 16, 154
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Shop.vue", "vue", 0, 0, 686, 0, 0, 0, 0, 85, 771
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\ShopEmbed.vue", "vue", 0, 0, 219, 0, 0, 0, 0, 15, 234
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Slideshow.vue", "vue", 0, 0, 158, 0, 0, 0, 0, 17, 175
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Spenden.vue", "vue", 0, 0, 78, 0, 0, 0, 0, 13, 91
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Staff.vue", "vue", 0, 0, 918, 0, 0, 0, 0, 29, 947
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Voegel.vue", "vue", 0, 0, 914, 0, 0, 0, 0, 107, 1021
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\auth.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 11, 58
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\cart.vue", "vue", 0, 0, 237, 0, 0, 0, 0, 21, 258
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\cartState.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 26, 144
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\package-lock.json", "JSON", 0, 0, 0, 949, 0, 0, 0, 1, 950
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\server.js", "JavaScript", 643, 0, 0, 0, 0, 0, 9, 46, 698
"c:\Users\Georg\source\repos\Wildvogelreha\src\main.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Georg\source\repos\Wildvogelreha\src\router\router.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\Georg\source\repos\Wildvogelreha\src\style.css", "PostCSS", 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Georg\source\repos\Wildvogelreha\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 876, 41, 5623, 5675, 3, 12, 10, 574, 12814